variant,family,calibration,threshold_objective,threshold,coverage,selection_mode,internal_auroc_mean,internal_auroc_std,internal_accuracy_mean,internal_accuracy_std,internal_f1_mean,internal_f1_std,internal_kappa_mean,internal_kappa_std,internal_recall_mean,internal_recall_std,internal_specificity_mean,internal_specificity_std,external_auroc,external_accuracy,external_f1,external_kappa,external_recall,external_specificity
ens_r2_b1024_dice_k31_25_15_isotonic_thr040,protected_baseline,isotonic,fixed,0.4,1.0,fixed_protected_baseline,0.8817071086807929,0.0016312271951500579,0.7973856209150327,0.009243225897863411,0.7727564102564102,0.02674314108333736,0.5953493458580013,0.018118662054543808,0.6883116883116883,0.07346563960379716,0.9078947368421053,0.05582421956735895,0.8516008771929825,0.7615894039735099,0.7313432835820896,0.522487702037948,0.6533333333333333,0.868421052631579
knn_r2_2048_mean__cal_none__thr_f1,knn_ensemble,none,f1,0.5500000000000003,1.0,internal_only,0.8889695830485304,0.011781085298306375,0.7875816993464052,0.0046216129489316665,0.767831741515952,0.022559594522716532,0.575638739327639,0.008848842043535476,0.7012987012987013,0.07346563960379716,0.875,0.06512825616191882,0.8469298245614034,0.7649006622516556,0.7455197132616488,0.529347205759691,0.6933333333333334,0.8355263157894737
knn_r2r3_concat_1024_mean__cal_none__thr_f1,knn_ensemble,none,f1,0.5500000000000003,1.0,internal_only,0.8899521531100478,0.0028999594580446167,0.8071895424836601,0.013864838846795,0.7918518518518518,0.03037940245097761,0.6147535377107267,0.027354859525921437,0.7337662337662338,0.08264884455427182,0.881578947368421,0.05582421956735903,0.8596052631578948,0.7516556291390728,0.7330960854092526,0.5028752030200606,0.6866666666666666,0.8157894736842105
lgbm_morgan_r2_1024__cal_none__thr_f1,lightgbm,none,f1,0.49000000000000016,1.0,internal_only,0.8962320574162679,0.011176927077880282,0.7973856209150327,0.009243225897863411,0.7914862914862915,0.019386766006557605,0.5949324852245783,0.018234726721130953,0.7662337662337663,0.05509922970284788,0.8289473684210527,0.0372161463782393,0.8070614035087719,0.7417218543046358,0.74,0.483421052631579,0.74,0.743421052631579
lgbm_morgan_r2_2048__cal_none__thr_f1,lightgbm,none,f1,0.5400000000000003,1.0,internal_only,0.8889268626110731,0.0027791278139593983,0.8104575163398693,0.009243225897863333,0.805155010814708,0.01503940161860359,0.6210640455504113,0.018342043380726203,0.7792207792207793,0.03673281980189858,0.8421052631578947,0.01860807318911965,0.8121052631578947,0.7516556291390728,0.7440273037542662,0.5031369280042118,0.7266666666666667,0.7763157894736842
lgbm_morgan_r2r3_concat_1024__cal_none__thr_f1,lightgbm,none,f1,0.5000000000000002,1.0,internal_only,0.894865003417635,0.009847778992943191,0.7941176470588236,0.0046216129489317455,0.7860167541194882,0.016078005611072255,0.5884492435161706,0.008965135893745639,0.7532467532467533,0.05509922970284788,0.8355263157894737,0.04652018297279917,0.8123245614035087,0.7384105960264901,0.7322033898305085,0.4766834832200044,0.72,0.756578947368421
lgbm_descriptors_only__cal_none__thr_f1,lightgbm,none,f1,0.36000000000000004,1.0,internal_only,0.8848684210526315,0.035584919183089245,0.7843137254901961,0.046216129489316825,0.79693457373799,0.0365577548912978,0.5682915339877366,0.0927082324799864,0.8376623376623377,0.009183204950474567,0.7302631578947368,0.08373632935103854,0.7309649122807018,0.6721854304635762,0.6915887850467289,0.34494544498488233,0.74,0.6052631578947368
descriptor_logreg__cal_none__thr_f1,logistic,none,f1,0.4300000000000001,1.0,internal_only,0.775674982911825,0.038243215352963426,0.7026143790849673,0.0046216129489317455,0.7065577847786437,0.024562903441980113,0.4051310547874036,0.008705644054294824,0.7142857142857143,0.07346563960379716,0.6907894736842105,0.06512825616191882,0.6466666666666667,0.6225165562913907,0.62,0.245,0.62,0.625
lgbm_morgan_r2_2048_plus_desc__cal_none__thr_f1,lightgbm,none,f1,0.4400000000000001,1.0,internal_only,0.913661995898838,0.016856014349884454,0.8235294117647058,0.0,0.8267450948130476,0.007853187072533772,0.6469833571885023,0.00021331435823258385,0.8376623376623377,0.04591602475237315,0.8092105263157894,0.04652018297279917,0.7602631578947369,0.7251655629139073,0.7414330218068536,0.4508128478156084,0.7933333333333333,0.6578947368421053
lgbm_morgan_r2_2048_plus_desc__cal_none__thr_kappa,lightgbm,none,kappa,0.47000000000000014,1.0,internal_only,0.913661995898838,0.016856014349884454,0.8235294117647058,0.009243225897863411,0.8247257383966244,0.002744887083086977,0.6470392368137499,0.01865783686228786,0.8246753246753247,0.027549614851423862,0.8223684210526316,0.04652018297279917,0.7602631578947369,0.7251655629139073,0.7398119122257053,0.45076471361584647,0.7866666666666666,0.6644736842105263
lgbm_morgan_r2_2048_plus_desc__cal_sigmoid__thr_f1,lightgbm,sigmoid,f1,0.4500000000000001,1.0,internal_only,0.913661995898838,0.016856014349884454,0.826797385620915,0.0046216129489317455,0.8273460721868365,0.0009608245009753824,0.6535927858200807,0.009389718975858097,0.8246753246753247,0.027549614851423862,0.8289473684210527,0.0372161463782393,0.7602631578947369,0.7218543046357616,0.7358490566037735,0.44412306074151986,0.78,0.6644736842105263
lgbm_morgan_r2_2048_plus_desc__cal_sigmoid__thr_kappa,lightgbm,sigmoid,kappa,0.5300000000000002,1.0,internal_only,0.913661995898838,0.016856014349884454,0.8137254901960784,0.013864838846795,0.8034531693472091,0.02508656981503834,0.6277145620466545,0.027463505778422492,0.7597402597402598,0.06428243465332252,0.868421052631579,0.03721614637823938,0.7602631578947369,0.7019867549668874,0.6917808219178082,0.4037381537381537,0.6733333333333333,0.7302631578947368
lgbm_morgan_r2_2048_plus_desc__cal_isotonic__thr_f1,lightgbm,isotonic,f1,0.4000000000000001,1.0,internal_only,0.906484962406015,0.012989401739158166,0.826797385620915,0.0046216129489317455,0.8284276729559749,0.002490438977763972,0.6535626083050674,0.009432396426868666,0.8311688311688312,0.036732819801898506,0.8223684210526316,0.04652018297279917,0.7540570175438597,0.7251655629139073,0.7398119122257053,0.45076471361584647,0.7866666666666666,0.6644736842105263
lgbm_morgan_r2_2048_plus_desc__cal_isotonic__thr_kappa,lightgbm,isotonic,kappa,0.4300000000000001,1.0,internal_only,0.906484962406015,0.012989401739158166,0.8235294117647058,0.009243225897863411,0.8048982980489829,0.024069222107636727,0.6475031927788325,0.01816581062247848,0.7272727272727273,0.07346563960379716,0.9210526315789473,0.05582421956735903,0.7540570175438597,0.695364238410596,0.676056338028169,0.3902738764044944,0.64,0.75
logreg_morgan_r2_2048_plus_desc__cal_none__thr_f1,logistic,none,f1,0.5300000000000002,1.0,internal_only,0.8666695146958304,0.021810111757377314,0.7973856209150327,0.02772967769359008,0.795182841068917,0.014669233505628139,0.5948341892016128,0.05579012232183631,0.7792207792207793,0.03673281980189858,0.8157894736842105,0.09304036594559834,0.7391228070175438,0.7052980132450332,0.7062706270627063,0.4106477217909924,0.7133333333333334,0.6973684210526315
lgbm_morgan_r2_2048_plus_desc_selected__cal_none__thr_f1,lightgbm,none,f1,0.48000000000000015,1.0,internal_only,0.9127221462747779,0.014318549824095335,0.8202614379084967,0.0046216129489316665,0.8196523834107727,0.0012168418192850105,0.6405515996726813,0.009394431363978368,0.8116883116883118,0.02754961485142394,0.8289473684210527,0.0372161463782393,0.7632894736842105,0.7350993377483444,0.7468354430379747,0.47054698457223,0.7866666666666666,0.6842105263157895
lgbm_morgan_r2_2048_plus_desc_selected__cal_none__thr_kappa,lightgbm,none,kappa,0.48000000000000015,1.0,internal_only,0.9127221462747779,0.014318549824095335,0.8202614379084967,0.0046216129489316665,0.8196523834107727,0.0012168418192850105,0.6405515996726813,0.009394431363978368,0.8116883116883118,0.02754961485142394,0.8289473684210527,0.0372161463782393,0.7632894736842105,0.7350993377483444,0.7468354430379747,0.47054698457223,0.7866666666666666,0.6842105263157895
lgbm_morgan_r2_2048_plus_desc_selected__cal_sigmoid__thr_f1,lightgbm,sigmoid,f1,0.5200000000000002,1.0,internal_only,0.9127221462747779,0.014318549824095335,0.8202614379084967,0.0046216129489316665,0.813373804267844,0.011056673362924273,0.6407089781181716,0.009086626334964126,0.7792207792207793,0.03673281980189858,0.8618421052631579,0.027912109783679515,0.7632894736842105,0.7119205298013245,0.7070707070707071,0.42373996578497175,0.7,0.7236842105263158
lgbm_morgan_r2_2048_plus_desc_selected__cal_sigmoid__thr_kappa,lightgbm,sigmoid,kappa,0.5200000000000002,1.0,internal_only,0.9127221462747779,0.014318549824095335,0.8202614379084967,0.0046216129489316665,0.813373804267844,0.011056673362924273,0.6407089781181716,0.009086626334964126,0.7792207792207793,0.03673281980189858,0.8618421052631579,0.027912109783679515,0.7632894736842105,0.7119205298013245,0.7070707070707071,0.42373996578497175,0.7,0.7236842105263158
lgbm_morgan_r2_2048_plus_desc_selected__cal_isotonic__thr_f1,lightgbm,isotonic,f1,0.32,1.0,internal_only,0.9143028024606972,0.013895639069797228,0.8202614379084967,0.0046216129489316665,0.813373804267844,0.011056673362924273,0.6407089781181716,0.009086626334964126,0.7792207792207793,0.03673281980189858,0.8618421052631579,0.027912109783679515,0.7633991228070175,0.7119205298013245,0.7070707070707071,0.42373996578497175,0.7,0.7236842105263158
lgbm_morgan_r2_2048_plus_desc_selected__cal_isotonic__thr_kappa,lightgbm,isotonic,kappa,0.32,1.0,internal_only,0.9143028024606972,0.013895639069797228,0.8202614379084967,0.0046216129489316665,0.813373804267844,0.011056673362924273,0.6407089781181716,0.009086626334964126,0.7792207792207793,0.03673281980189858,0.8618421052631579,0.027912109783679515,0.7633991228070175,0.7119205298013245,0.7070707070707071,0.42373996578497175,0.7,0.7236842105263158
logreg_morgan_r2_2048_plus_desc_selected__cal_none__thr_f1,logistic,none,f1,0.5500000000000003,1.0,internal_only,0.8672248803827751,0.022958012376186575,0.7941176470588236,0.03235129064252174,0.7913128096249116,0.020142284460550965,0.5883152854918707,0.06500924435995782,0.7727272727272727,0.02754961485142394,0.8157894736842105,0.09304036594559834,0.7396052631578948,0.7086092715231788,0.7086092715231788,0.41724410139461454,0.7133333333333334,0.7039473684210527
challenger_proxy_meta_logreg_knn_plus_lgbm__cal_none__thr_f1,challenger_proxy,none,f1,0.49000000000000016,1.0,internal_only,0.9057159945317841,0.006464492958557857,0.8137254901960784,0.013864838846795,0.8014705882352942,0.03119588740528883,0.6277512479227404,0.02732635668908788,0.7532467532467533,0.09183204950474647,0.875,0.06512825616191882,0.8564912280701754,0.7549668874172185,0.7465753424657534,0.5097402597402598,0.7266666666666667,0.7828947368421053
challenger_proxy_meta_logreg_knn_plus_lgbm__cal_none__thr_kappa,challenger_proxy,none,kappa,0.5500000000000003,1.0,internal_only,0.9057159945317841,0.006464492958557857,0.8169934640522876,0.018486451795726746,0.7985257985257985,0.036484625073507394,0.6344262598329375,0.036577347273855046,0.7272727272727273,0.09183204950474647,0.9078947368421053,0.05582421956735895,0.8564912280701754,0.7582781456953642,0.7383512544802867,0.5160893805698231,0.6866666666666666,0.8289473684210527
challenger_proxy_meta_logreg_knn_plus_lgbm__cal_sigmoid__thr_f1,challenger_proxy,sigmoid,f1,0.49000000000000016,1.0,internal_only,0.9057159945317841,0.006464492958557857,0.8137254901960784,0.013864838846795,0.8014705882352942,0.03119588740528883,0.6277512479227404,0.02732635668908788,0.7532467532467533,0.09183204950474647,0.875,0.06512825616191882,0.8564912280701754,0.7549668874172185,0.7465753424657534,0.5097402597402598,0.7266666666666667,0.7828947368421053
challenger_proxy_meta_logreg_knn_plus_lgbm__cal_sigmoid__thr_kappa,challenger_proxy,sigmoid,kappa,0.5400000000000003,1.0,internal_only,0.9057159945317841,0.006464492958557857,0.8104575163398693,0.018486451795726666,0.7928546197709038,0.036680918961486196,0.6213371049660013,0.036567830372311295,0.7272727272727273,0.09183204950474647,0.8947368421052632,0.05582421956735903,0.8564912280701754,0.7649006622516556,0.7491166077738516,0.529429838037133,0.7066666666666667,0.8223684210526315
challenger_proxy_meta_logreg_knn_plus_lgbm__cal_isotonic__thr_f1,challenger_proxy,isotonic,f1,0.3,1.0,internal_only,0.9052887901572111,0.0013895639069796992,0.8137254901960784,0.04159451654038516,0.7822857142857143,0.0654578848869833,0.628155609783112,0.0827036827722356,0.6753246753246753,0.11019845940569575,0.9539473684210527,0.027912109783679515,0.8459868421052632,0.7649006622516556,0.7300380228136882,0.5290163862408295,0.64,0.8881578947368421
