variant,base_model,calibration,threshold_objective,threshold,internal_auroc_mean,internal_auroc_std,internal_accuracy_mean,internal_accuracy_std,internal_f1_mean,internal_f1_std,internal_kappa_mean,internal_kappa_std,external_auroc,external_accuracy,external_f1,external_kappa,coverage
lgbm_morgan_r2_only__cal_sigmoid__thr_f1,lgbm_morgan_r2_only,sigmoid,f1,0.33,0.9046052631578947,0.0067061562467281375,0.8104575163398693,0.018486451795726666,0.8200888545489666,0.008085903312003801,0.6206584482492892,0.03727179361286763,0.8228947368421053,0.7317880794701986,0.7582089552238805,0.46437486314867527,1.0
knn_mean_r3__cal_none__thr_f1,knn_mean_r3,none,f1,0.5000000000000002,0.8858082706766917,0.0036853651445983805,0.8071895424836601,0.0046216129489316665,0.8074536800951895,0.014363294297432052,0.6143820710916412,0.008986965179570363,0.8521929824561404,0.7582781456953642,0.7542087542087542,0.5164714655437119,1.0
knn_mean_r3__cal_none__thr_kappa,knn_mean_r3,none,kappa,0.5000000000000002,0.8858082706766917,0.0036853651445983805,0.8071895424836601,0.0046216129489316665,0.8074536800951895,0.014363294297432052,0.6143820710916412,0.008986965179570363,0.8521929824561404,0.7582781456953642,0.7542087542087542,0.5164714655437119,1.0
blend_inverse_stacking__cal_none__thr_f1,blend_inverse_stacking,none,f1,0.4500000000000001,0.9075102529049898,0.002235385415575993,0.8104575163398693,0.009243225897863333,0.8060897435897436,0.020397310995765798,0.6210349541063086,0.018206273488014596,0.853421052631579,0.7781456953642384,0.7788778877887789,0.5563303074156909,1.0
blend_inverse_stacking__cal_sigmoid__thr_f1,blend_inverse_stacking,sigmoid,f1,0.4400000000000001,0.9075102529049898,0.002235385415575993,0.8104575163398693,0.009243225897863333,0.8060897435897436,0.020397310995765798,0.6210349541063086,0.018206273488014596,0.853421052631579,0.7781456953642384,0.7788778877887789,0.5563303074156909,1.0
blend_inverse_stacking__cal_sigmoid__thr_kappa,blend_inverse_stacking,sigmoid,kappa,0.4400000000000001,0.9075102529049898,0.002235385415575993,0.8104575163398693,0.009243225897863333,0.8060897435897436,0.020397310995765798,0.6210349541063086,0.018206273488014596,0.853421052631579,0.7781456953642384,0.7788778877887789,0.5563303074156909,1.0
blend_inverse_stacking__cal_none__thr_kappa,blend_inverse_stacking,none,kappa,0.49000000000000016,0.9075102529049898,0.002235385415575993,0.8137254901960784,0.0046216129489316665,0.8050578574094811,0.015176797281906077,0.6276766395884981,0.008990423209596482,0.853421052631579,0.7880794701986755,0.7837837837837838,0.576065976487103,1.0
distance_exponential_knn_r2__cal_none__thr_f1,distance_exponential_knn_r2,none,f1,0.4300000000000001,0.9151144907723856,0.004893681585450409,0.7973856209150327,0.0,0.8045366221199983,0.01390827471422168,0.5945805438183914,0.0003920674884226095,0.8479166666666667,0.7549668874172185,0.7658227848101266,0.5102559607293127,1.0
distance_exponential_knn_r2__cal_none__thr_kappa,distance_exponential_knn_r2,none,kappa,0.4300000000000001,0.9151144907723856,0.004893681585450409,0.7973856209150327,0.0,0.8045366221199983,0.01390827471422168,0.5945805438183914,0.0003920674884226095,0.8479166666666667,0.7549668874172185,0.7658227848101266,0.5102559607293127,1.0
stacking_combo_logreg__cal_none__thr_f1,stacking_combo_logreg,none,f1,0.4300000000000001,0.9064849624060151,0.0036853651445983016,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.8509210526315789,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
stacking_combo_logreg__cal_none__thr_kappa,stacking_combo_logreg,none,kappa,0.4300000000000001,0.9064849624060151,0.0036853651445983016,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.8509210526315789,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
stacking_combo_logreg__cal_sigmoid__thr_f1,stacking_combo_logreg,sigmoid,f1,0.4300000000000001,0.9064849624060151,0.0036853651445983016,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.8509210526315789,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
stacking_combo_logreg__cal_sigmoid__thr_kappa,stacking_combo_logreg,sigmoid,kappa,0.4300000000000001,0.9064849624060151,0.0036853651445983016,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.8509210526315789,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
blend_hybrid_stacking__cal_none__thr_f1,blend_hybrid_stacking,none,f1,0.4300000000000001,0.9063995215311005,0.0038061967886835204,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.851140350877193,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
