number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_depth,params_l2_leaf_reg,params_learning_rate,state
0,0.8738749068305296,2026-04-03 20:03:47.685888,2026-04-03 20:04:03.222208,0 days 00:00:15.536320,0.08116262258099888,10,0.24810409748678114,0.08960785365368121,COMPLETE
1,0.8331135871997212,2026-04-03 20:04:03.224287,2026-04-03 20:04:05.295489,0 days 00:00:02.071202,0.039643541684062936,5,2.915443189153755,0.011900590783184251,COMPLETE
2,0.8489036996072226,2026-04-03 20:04:05.297239,2026-04-03 20:04:10.870242,0 days 00:00:05.573003,0.12421185223120967,8,7.5794799533480015,0.010636066512540286,COMPLETE
3,0.8615693991081743,2026-04-03 20:04:10.878093,2026-04-03 20:04:15.540134,0 days 00:00:04.662041,0.16816410175208013,5,0.00541524411940254,0.017240892195821537,COMPLETE
4,0.8713268083558431,2026-04-03 20:04:15.541459,2026-04-03 20:04:20.342860,0 days 00:00:04.801401,0.06780602616231217,7,0.014618962793704969,0.03647316284911211,COMPLETE
5,0.8400186742604312,2026-04-03 20:04:20.344949,2026-04-03 20:04:22.475219,0 days 00:00:02.130270,0.1262520499972521,4,0.029204338471814112,0.023993242906812717,COMPLETE
6,0.8658414540886753,2026-04-03 20:04:22.476924,2026-04-03 20:04:34.257990,0 days 00:00:11.781066,0.09665329700123683,9,0.11400863701127326,0.018187859051288217,COMPLETE
7,0.8585260055385356,2026-04-03 20:04:34.260620,2026-04-03 20:04:37.106806,0 days 00:00:02.846186,0.12255876808378807,4,0.004809461967501573,0.06172115948107071,COMPLETE
8,0.8894956582329618,2026-04-03 20:04:37.108128,2026-04-03 20:04:47.442182,0 days 00:00:10.334054,0.022359802667203107,10,1.7123375973163983,0.18043311207136262,COMPLETE
9,0.8748256292640268,2026-04-03 20:04:47.443361,2026-04-03 20:04:50.563035,0 days 00:00:03.119674,0.06787661614294044,4,0.057624872164786005,0.07766184280392888,COMPLETE
10,0.8802403633286234,2026-04-03 20:04:50.564552,2026-04-03 20:04:57.046463,0 days 00:00:06.481911,0.013903893866616692,10,0.6895398745616544,0.18255631599020647,COMPLETE
11,0.8905078049953561,2026-04-03 20:04:57.047802,2026-04-03 20:05:05.533090,0 days 00:00:08.485288,0.012762766280849233,10,1.1073203961638327,0.19241966516320125,COMPLETE
12,0.8754741361805699,2026-04-03 20:05:05.535472,2026-04-03 20:05:09.914518,0 days 00:00:04.379046,0.01652311926998446,8,1.1395726753712494,0.19752632278840065,COMPLETE
13,0.8885024900849438,2026-04-03 20:05:09.916681,2026-04-03 20:05:23.545900,0 days 00:00:13.629219,0.04334688402733243,9,0.5090391442990877,0.130648841216852,COMPLETE
14,0.8865875042066309,2026-04-03 20:05:23.547735,2026-04-03 20:05:34.771592,0 days 00:00:11.223857,0.04041023111839498,10,2.6398836206649374,0.12117857455695592,COMPLETE
15,0.8644893139083889,2026-04-03 20:05:34.773475,2026-04-03 20:05:41.281420,0 days 00:00:06.507945,0.1832641774114081,7,4.498640389851472,0.04712106872545394,COMPLETE
16,0.8729843542372071,2026-04-03 20:05:41.283479,2026-04-03 20:05:46.176175,0 days 00:00:04.892696,0.012850774172710352,9,0.23220942834247865,0.1286547089538744,COMPLETE
17,0.8848201939028841,2026-04-03 20:05:46.178051,2026-04-03 20:05:50.546784,0 days 00:00:04.368733,0.04702910239748389,8,1.75369341856628,0.19961837193620582,COMPLETE
18,0.8847791276111568,2026-04-03 20:05:50.548146,2026-04-03 20:06:02.362099,0 days 00:00:11.813953,0.027344737462205518,10,9.7565505071342,0.10513170255593257,COMPLETE
19,0.8835296227217796,2026-04-03 20:06:02.366500,2026-04-03 20:06:09.497893,0 days 00:00:07.131393,0.14866861761102326,7,0.3752376648665201,0.06912903508878543,COMPLETE
