,scaffold,frequency
0,C1CCCCC1,67
1,C1CC1,1
2,CC1CCCC2CCCC12,5
3,C1C[C]2CC[C]1C2,1
4,C1CCC2CCCCC2C1,4
5,C1CCC2CCCC2C1,5
6,CC1CCCC2C([C]3C[CH]CC3)CCC12,1
7,CC1CC(C)CC(C)C1,1
8,CC1CCCCC1C1CCCC1,1
9,C1CCC(C2CCCCC2)CC1,3
10,CC1CCCCC1,4
11,CC1CCC([C]2C[CH][CH]C2)C(C)C1,1
12,C1CCC2C(C1)CC1CCCCC12,2
13,CC1CCCC2C1CCC2C1CCCC1C,1
14,C1CCC(CC2CCCCC2)CC1,6
15,C1CCC(C2CCC(C3CCCCC3)C2)CC1,1
16,[CH]1CCC23CCCCC4CCCC(C[C]2C1)C43,1
17,CC1CCC2C(CCC3C4CCCC4CCC23)C1,4
18,C1CCC(C2CC2)CC1,1
19,C1CCC(CCC2CCCCC2)CC1,5
20,C1CCC2C(C1)CCC2C1CCCC1,1
21,CC1CC(C)C(C2CCCCC2)C1C1CCCCC1,1
22,[CH]1[CH][C]2C[CH]C[C]2C1,1
23,C1CCC(C2CCCC2)CC1,3
24,CC1CC2CCCCC2C(CCC2CC2)C1,1
25,CC1CCC2CCCC3C(C4CC4)CCC1C23,1
26,CC1CCCC2CC(C3CCCCC3)CCC12,4
27,C1CCC(C2CCC3CCCCC32)CC1,2
28,CC1CCC(C2CC2)C2CC(C3CCCCC3)CCC12,3
29,CC(CC1CCCC1)C1CC2CCCCC2C(C)(C)C1,2
30,CC(CC1CCCCC1)C1CC2CCCCC2C1,5
31,CC(C1CCCCC1)C1CCC2CCCCC2C1,1
32,[CH](C1CCCCC1)C(CC1CCCC1)C1CCCCC1,1
33,CC(C1CCCCC1)C1CCCCC1,2
34,CC1CCC(C2CCCCC2)C2CC(C3CCCC3)CCC12,1
35,CC1CCC(C2CC2)C2CC(C3CCC4(CC4)C3)CCC12,1
36,CC(CC1C(C)C2CCCCC21)C(C)C1CCCC1,1
37,CC(CC1CC(C)C2CCCCC12)C1CCCCC1CC1CCCCC1,1
38,C1CCC(CC2CCC(C3CCCCC3C3CCCC3)CC2)C1,1
39,CC(C[C]1[C]2CCCCC2C1C)C(C)C1CCCC1,4
40,CC(CC1CCCCC1)CC1CCC(CCCCC2CCCCC2)CC1,1
41,CC1C(CC2CCC(C3CCCCC3C3CCCC3)CC2)CCC12CCCC2,1
42,C1CCC(C2CCCCC2C2CCCC2)CC1,1
43,CC1CC(CCC(C)C2CCCC2)CC(C(C)CCC2CCCCC2)C1,1
44,C1CCC(CCC2CCC3CCCCC3C2)CC1,3
45,CC(CC1CCCC1)CC1C(C)C2CC(CCC3CCCC3)CCC12,1
46,CC(CC1CCCCC1)CC1CCC(CC2CCCCC2)CC1,1
