,scaffold,frequency
0,C1CCCC1,20
1,CC1CCCCC1,7
2,CC1CCCC1,13
3,CC1[CH]CCC1,1
4,C1CCCCC1,169
5,C1CCC2CCCC2C1,15
6,CC1CC(C)CC(C)C1,7
7,CC1CCCC(C)C1,2
8,[CH]1CC1C1CCCCC1,1
9,CC1CCCC2CCCC12,10
10,C1CC2CC(C1)C2,1
11,[CH]1[CH]C1,1
12,C1C2CC3CC1CC(C2)C3,2
13,CC1CCC(C)C1,2
14,CC1CCC2CCCCC2C1,2
15,CC1CC2CC2C1,1
16,C1CC2CCC1CC2,1
17,C1CCC(C2CCCC2)CC1,22
18,C1CC2CCC1C2,2
19,CC1CC2CCCCC2C1,2
20,C1CCC(C2CCCCC2)CC1,17
21,CC1C[CH]CC1,1
22,C1CCC(CCC2CCCC2)C1,1
23,CC(C1CCCCC1)C1CCCCC1,5
24,CC1CCCCC1C1CCCCC1,4
25,C1CCCCCC1,1
26,CC1CCC(C)C2CCCCC12,3
27,CC(C1CC1)(C1CC1)C1CC1,1
28,[CH]1CC[C]2[CH]CC[C]12,2
29,C1CC2CCCC2C1,2
30,[CH]1CCCCC2CCCCC12,1
31,CC1CC(C)C2C3CCC(C3)C12,2
32,C1CCC2(C1)CC1CCC2CC1,1
33,CC1CCC(C2CCCC2)C(C)C1,3
34,C1CCC(CCC2CCCCC2)CC1,8
35,C1CCC2CCCCC2C1,14
36,CC1CC(C)C(C2CCCCC2)C1,3
37,C1CCC(CCC2CCCC2)CC1,4
38,[CH]1[CH][CH]CC[CH]1,2
39,CC1CCCC(C2CCCCC2)C1,2
40,CC1[CH][C](CC2CCCC2)CC1,1
41,CC1CCCCC1[C]1C[CH]CC1,2
42,CC1CCCCC1C1CCCC1,2
43,CC1CCC(C2CCCCC2)CC1,3
44,C1C[C]2C[C](C1)C1CC3CCCCC3CC21,1
45,C1CCC2CC3C4CCCC(C4)C3CC2C1,1
46,[CH]1CCC2CCCC2C1,1
47,C1CCC(CCC2CCCC3CCCC32)C1,1
48,CC1CCC2CC3CCCC3CC2C1,2
49,CC1CCCCC1CCC1CCCCC1,1
50,[CH]1CCCC1,1
51,CC1CCCC(C)C1C1CCCCC1,1
52,C1CCC(CC2CCCCC2)CC1,26
53,CC(CC1CCCCC1)CC1CCCC1,1
54,CC1CCCCC12CCCCC2,1
55,CC1CCC(CCC2CCCCC2)C1,1
56,CC1CCCC2(C1)CC1CCC2CC1,1
57,[CH]1CCC(C2CCCCC2)C1,5
58,CC1CCC([C]2C[CH]CC2)C(C)C1,1
59,C1CCC(CC2CCCC(C3CC3)C2)CC1,1
60,CC(CC1CCCCC1)C1CCCCC1,4
61,CC1CCCCC1[C]1C[CH][CH]C1,2
62,C1CCC(CC2CCCC2)CC1,8
63,CC1(C)CCCC2CCCCC21,5
64,CC(CCCC1CCCCC1)C1CCCC1,1
65,CC1CCCC2CCCCC12,2
66,CC1CC(C)C(C2CCCCC2)C(C)C1,1
67,CC1CCC(C2CCCCC2)C(C)C1,1
68,C1CCC2CC3CCCCC3CCC2C1,5
69,CC1CC(C)C(CCC2CCCC2)C1,1
70,[CH](CCC1CCCCC1)CC1CCCCC1,1
71,C1CCC2C(C1)CCC1CCCC12,1
72,CC(CCC(C)C1CCCCC1)C1CCCCC1,1
73,CC1CCCCC1[C]1[CH][CH][CH]C1,3
74,[CH](C1CCCCC1)C1CCCC1,1
75,[CH]1C[C]1C1CCCC2CCCC21,1
76,C1CC2CCCC(C3CC3)C2C1,1
77,CC1CCC([C]2C[CH][CH]C2)C(C)C1,1
78,CC(CC1CCCCC1)CC1CCCCC1,1
79,C1CCC(C2CCCC3CCCC32)C1,1
80,CC(C)(C1CCCCC1)C1CCCCC1,1
81,CC1CCCC2C1CC1CCCC3CCCC2C31,1
82,C1CCC2C(C1)CCC2C1CCCC1,5
83,CC1CC2CCCCC2CC2CCCCC12,1
84,C1CCC(C2CCC3CCCCC3C2)CC1,1
85,CC(C)(CC1CCCC1)C1CCCCC1,2
86,C1CCC(C2CCCCCC3CCCCC32)CC1,1
87,CC1CC(C)C2CCCC2C1,2
88,CC(C1CCCCC1)C1CCC2CCCC21,1
89,[CH](CC1CCCCC1)C1CCCCC1,1
90,CC(C1CCCCC1)C1CCCC1,2
91,C1CCC23CCC[C](CC4CCCCC42)[C]3C1,2
92,[CH]1CCC2CCC3CCCC3C12,1
93,CC1CCCC2CC3CCCC3CC12,1
94,CC1[CH][CH]C[C]1C1CCC2C(C)CCCC12,2
95,CC1C2CCCCC2CCC2CCCCC21,4
96,C1CCC(CC2CCC3CCCC3C2)CC1,1
97,C1CCC2C(C1)CC1CCCCC1C1CCCCC21,1
98,[CH]1[CH][CH]C[CH][CH]1,2
99,CC1[CH][CH]CC(CC2CCCCC2)C1,18
100,C1CCC(C(C2CCCCC2)C2CCCCC2)CC1,4
101,[CH]1[CH]C[C](C2CCC3CCCCC32)[CH]1,4
102,C1CCC2C(C1)C[C]1CCCC3CCCC2C13,1
103,C1CCC2C(C1)CC1CCCC3CCCC2C31,1
104,CC1CC(C)CC([CH]CC2CC(C)CC(C)C2)C1,1
105,[CH]1[CH]C[C](C2CCC3[CH]CCCCC32)C1,1
106,C1CCC2CCC(C3CCCC3)C2CC1,1
107,CC(CCCC1CCCCC1)C1CCCCC1,2
108,CC(CCC1CCCCC1)CC1CC1,1
109,C1CCC(CC2CCC3CCCC3C2)C1,1
110,CC(CC1CCCCC1)C1CCCC1,1
111,CC1CC(C2CCCCC2)CC2CCCCC12,2
112,CC1CC[C]2[C]3CCC4CCCCC4[C]3CCC21,2
113,CC1CCC2C1CCC1C3CCCCC3CCC21,1
114,[CH]1CC[C]2[C]3CCC4CCCCC4[C]3CCC12,2
115,C1CCC2C(C1)CCC1C3CCCC3CCC21,6
116,CC(CC1CCCCC1)C1CC1,1
117,CC1CCC2C(CCC3C4CCCC4CCC23)C1,23
118,C1CCC(CCC2CC3CCC2C3)CC1,1
119,C1CCC2C(C1)C[C]1CCCC12,1
120,CC1C(C)C2C3CCCCC3CCC2C2CCCC12,3
121,CC1C(CC2CCCCC2)CCC2CCCC21,1
122,C1CCC(CC2CCCC3CCCC32)C1,1
123,C1CCC2C(C1)C1CCC2C2CCCCC21,1
124,C1CCC(CC(C2CCCCC2)C2CCCCC2)CC1,6
125,C1CCC(C2CCC2)CC1,1
126,CC1C[CH]C(C2CCCCC2)CC1,1
127,CC1CCC(C2CCCCC2)C2CCCCC2C1,10
128,C1CCC(C(CC2CCCC2)C2CCCCC2)CC1,1
129,CC(CCC1CCCCC1)C1CCCCC1,4
130,CC1C2CCCCC2C(C)C2CCCCC12,3
131,CC(CC1C[C]2CC[C](C2)C1)C1CCC2CCCCC21,1
132,C1CCC2CC3CCCCC3CC2C1,5
133,CC1CC[C]2[C]3CCCC24[C]1CC1CCCC(C3)C14,2
134,[CH]1CC[C]2[C]3CCCC24[C]1CC1CCCC(C3)C14,3
135,CC1CCC2C3CCCC24C1CC1CCCC(C3)C14,1
136,[CH]1[C]2CCCC1C1CCCCC1C2,1
137,C1CCC2C(C1)CC1CCCC2C1,1
138,[CH]1[CH]C[C](C2CCC3CCCCC32)C1,1
139,C1CCC2C(C1)CC1CCCCC1C1CCCC21,1
140,CC1CC(C)C2CCCCC12,2
141,CC1CCC(C)C1C1CCCCC1,2
142,C1CC2CC3CC4CCC5CCCC(C3CC2C1)C54,1
143,CC1C2CCCCC2CC2C1CCC1C3CCCCC3CC12,1
144,C1CCC(C2C3CCCCC3CCC3CCCCC32)CC1,3
145,C1CCC(CCCCCC2CCCC3CCCCC23)CC1,2
146,CC1[CH][CH]CC(CCC2CCCCC2)C1,1
147,[CH]1[CH]C2CC[C]3[C](CCC4CCCCC34)[C]2C1,1
148,CC(CC1CCCCC1)CC1C[C]2CC[C](C2)C1,1
149,CC(CC1CCCCC1)CC1CC2CCC(C2)C1,1
150,CC1CCCCC1CC1CCCC1,1
151,C1CCC(C2CCCC2C2CCCCC2)CC1,4
152,CC1C(CC2CCCC2)CCC2CC3CCCCC3C21,2
