,scaffold,frequency
0,c1ccoc1,1
1,O=C1CCCN1,1
2,C1CCCCC1,4
3,c1ccc2occc2c1,1
4,c1ccccc1,46
5,c1ncncn1,6
6,O=c1[nH]c(=O)[nH]c(=O)[nH]1,1
7,O=c1ncnc2[nH][nH]cc1-2,1
8,C1=CCCCC1,3
9,O=C1C=CCCC1,1
10,O=C1COC(=O)N1,1
11,c1cncnc1,5
12,O=c1ccc2ccccc2o1,1
13,O=c1ccs[nH]1,1
14,O=C1CC2CC2C1,1
15,c1ccncc1,8
16,C1CC2CCC1CO2,1
17,c1ccc(-c2ccccc2)cc1,2
18,O=C(c1ccccc1)c1ccccc1,4
19,c1cc(-c2cc[nH+]cc2)cc[nH+]1,1
20,C1CCCNCC1,1
21,O=C1C=CC(=O)c2ccccc21,1
22,c1cc(-c2nn[nH]n2)ccn1,2
23,O=C1OC(=O)C2C3CCC(O3)C12,1
24,O=c1ncnc[nH]1,1
25,c1ccc2ccccc2c1,2
26,C1CCOC1,1
27,c1ccc2snnc2c1,1
28,O=c1ncccn1C1CCCO1,2
29,c1cnc2cc3c(cc2n1)C1CNCC3C1,1
30,O=c1cnnc[nH]1,1
31,O=C1NN=CCN1N=Cc1cccnc1,1
32,[CH]1CCCN1,1
33,C1=Cc2ccccc2NC1,1
34,c1ccc(Cc2ccccc2)cc1,2
35,O=C(Nc1ccccc1)Nc1cnns1,1
36,C1CCOCC1,2
37,O=C1C=CCC2(CC3CCC2CN3)O1,1
38,[CH]1CSC(c2ccccc2)=N1,5
39,O=c1nc[nH]c2[nH]cnc12,2
40,c1ccc(Nc2nccc(C3CC3)n2)cc1,1
41,O=C1CC(=O)NC(=S)N1,1
42,O=C(Nc1ccccc1)C1=COCCS1,1
43,c1ccc(C2=NCCS2)cc1,12
44,O=c1ncncn1[C]1[CH][CH][CH]O1,1
45,O=c1ncccn1[C]1CS[CH]O1,1
46,O=C(Nc1ccccc1)Nc1ccncc1,1
47,c1cc2c(c(-c3cc[nH]c3)c1)OCO2,1
48,O=C1CCCC2C3CCCN4CCCC(CN12)C34,1
49,c1cscn1,1
50,O=c1[nH]cnc2[nH]cnc12,4
51,O=C(c1ccccc1)c1ccc2n1CCC2,1
52,C=C1[CH][CH]C[C]1n1cnc2c(=O)[nH]cnc21,1
53,O=c1ncccn1[C]1C[CH][CH]O1,1
54,[CH]1[CH][CH]O[CH][CH]1,2
55,O=C1[CH][CH]CC(NC2CCCCC2)=C1,1
56,O=c1ccn(C2CCCO2)c(=O)[nH]1,1
57,C1=NCCc2ncn(C3CCCO3)c2N1,1
58,C1=CCC=C1,1
59,c1ncc2nc[nH]c2n1,5
60,O=C1[CH][CH]CC(Nc2ccccc2)=C1,17
61,O=C(Nc1ccccc1)C1CC1,1
62,c1ccc(COC2CC3CCC2O3)cc1,1
63,O=C1NC(=O)C2C3C=CC(C3)C12,1
64,c1ccsc1,1
65,O=c1ccn(-c2ccccc2)nc1,1
66,O=c1nccc[nH]1,2
67,O=C(NCc1ccccc1)c1ccncn1,2
68,O=C1NCCS1,1
69,O=C1c2ccccc2C(=O)c2ccccc21,2
70,[CH]1[CH]O[C](n2cnc3cncnc32)[CH]1,2
71,[CH]1[CH]O[C](n2cnc3cncnc32)C1,1
72,c1ncc2ncn(C3CCCO3)c2n1,2
73,O=C1OC(=O)c2ccccc21,1
74,O=C1COC(=O)N1c1ccccc1,1
75,c1ccc2c(c1)CCO2,1
76,C1=C2CCN3Cc4cc5c(cc4C(CC1)C23)OCO5,1
77,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,1
78,O=C1[CH][CH]CC(NNc2ccccc2)=C1,1
79,c1ccc(Oc2ccccc2)cc1,6
80,c1ccc2ncccc2c1,2
81,N=C1NCOCN1Cc1cncs1,1
82,O=C1OC2CC1C1C3OC3C3(CO3)C1C2,1
83,O=C1C=CC(=O)C=C1,1
84,C1=NOC(c2ccccc2)(c2ccccc2)C1,1
85,O=C1CC2N1CC(Cn1ccnn1)S2(=O)=O,1
86,O=S(=O)(OCC1CCCOC1)c1ccccc1,1
87,c1ccc(-c2nc3ccccc3o2)cc1,1
