,scaffold,frequency
0,c1cn[nH]c1,1
1,N=c1cc[nH]cc1,1
2,c1ccoc1,3
3,O=C1CCCN1,4
4,O=C1[CH]CON1,1
5,c1ccccc1,124
6,C1CCCCC1,5
7,S=c1[nH]cc[nH]1,2
8,c1ccc2occc2c1,1
9,c1ccncc1,15
10,c1cnccn1,2
11,c1ncncn1,7
12,O=c1[nH]c(=O)[nH]c(=O)[nH]1,1
13,O=c1nccc[nH]1,3
14,O=c1cc[nH]c(=O)[nH]1,1
15,C1OCOCO1,1
16,[CH]1CC1c1ccccc1,1
17,O=c1ncnc2[nH][nH]cc1-2,1
18,C1=CC2CC(C1)C2,1
19,C1=CCCCC1,5
20,[CH]1[CH]O1,1
21,O=C1C=CCCC1,1
22,C1N2CN3CN1CN(C2)C3,1
23,O=C1CCC(=O)N1,1
24,O=C1COC(=O)N1,1
25,c1cncnc1,5
26,O=c1ccc2ccccc2o1,1
27,O=c1ccs[nH]1,1
28,S=c1nc[nH]c2nc[nH]c12,2
29,O=C1CC2CC2C1,1
30,c1c[nH+]ccn1,1
31,C1CC2CCC1CO2,1
32,c1cncc(C2CCCN2)c1,1
33,C1CC2CCC1C2,1
34,O=c1[nH]c2ccccc2o1,1
35,c1ccc(-c2ccccc2)cc1,3
36,O=c1cc[nH]c(=S)[nH]1,1
37,c1c[nH]cn1,4
38,O=C1C=C[CH]O1,1
39,O=C1C=CCO1,1
40,C(=Cc1cccs1)c1ccn[nH]1,1
41,C1C2CC3CC1CC(C2)C3,1
42,O=C(c1ccccc1)c1ccccc1,5
43,O=c1ccccn1-c1ccccc1,1
44,c1cc(-c2cc[nH+]cc2)cc[nH+]1,1
45,C1CCCNCC1,1
46,O=C1C=CC(=O)c2ccccc21,3
47,S=P(N1CC1)(N1CC1)N1CC1,1
48,[CH]1CO[C]2[CH]CO[C]12,2
49,C1CC2OCCC2O1,2
50,c1ccc(C2CNCCO2)cc1,1
51,O=c1[nH]nnc2cncn12,1
52,c1cc[nH]c1,1
53,c1cc(-c2nn[nH]n2)ccn1,2
54,[CH]1CNCCc2ccccc21,1
55,O=C1OC(=O)C2C3CCC(O3)C12,1
56,O=c1ncnc[nH]1,1
57,C1OC2(CS1)CN1CCC2CC1,1
58,O=c1ccn(C2CCCO2)c(=O)[nH]1,3
59,c1ccc(COc2ccccc2)cc1,2
60,c1ccc2ccccc2c1,5
61,C1CCOC1,1
62,O=C1CC(c2ccccc2)C(=O)N1,1
63,O=C1NC(=O)C(c2ccccc2)N1,2
64,C(=Cc1cccs1)C1=NCCCN1,1
65,[CH]1[CH][CH]NC[CH]1,2
66,C1CCNCC1,2
67,O=c1cccc(C2CCCCC2)[nH]1,1
68,O=C1[CH][C](Cc2cnc[nH]2)CO1,1
69,c1cc(N2CCCCC2)nc[nH+]1,1
70,N=c1nc(N2CCCCC2)cc[nH]1,1
71,c1ccc2snnc2c1,1
72,O=c1ncccn1[C]1CC[CH]O1,1
73,O=c1ncccn1C1CCCO1,2
74,O=c1ccc(-c2ccncc2)c[nH]1,1
75,c1cnc2cc3c(cc2n1)[C]1CNC[C]3C1,1
76,c1cnc2cc3c(cc2n1)C1CNCC3C1,1
77,[CH]1CCc2ncsc2C1,1
78,O=C1CC(=O)NC(=O)N1,5
