source_csv,model_group,primary_metric,best_primary_score,num_rows
confirmed_models/results_full_coverage_improvements/experiments/meta_logreg_knn_plus_lgbm/external_metrics__meta_logreg_knn_plus_lgbm__cal_none__thr_f1.csv,confirmed_models,auroc,0.8603508771929824,1
confirmed_models/results_full_coverage_improvements/experiments/meta_logreg_knn_plus_lgbm/external_metrics__meta_logreg_knn_plus_lgbm__cal_none__thr_kappa.csv,confirmed_models,auroc,0.8603508771929824,1
confirmed_models/results_full_coverage_improvements/experiments/meta_logreg_knn_plus_lgbm/external_metrics__meta_logreg_knn_plus_lgbm__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8603508771929824,1
confirmed_models/results_full_coverage_improvements/experiments/meta_logreg_knn_plus_lgbm/external_metrics__meta_logreg_knn_plus_lgbm__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8603508771929824,1
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__knn_r2r3_concat_1024_mean__cal_none__thr_f1.csv,confirmed_models,auroc,0.8596052631578948,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_hybrid_logreg/external_metrics__blend_inverse_hybrid_logreg__cal_none__thr_f1.csv,confirmed_models,auroc,0.8588157894736843,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_hybrid_logreg/external_metrics__blend_inverse_hybrid_logreg__cal_none__thr_kappa.csv,confirmed_models,auroc,0.8588157894736843,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_hybrid_logreg/external_metrics__blend_inverse_hybrid_logreg__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8588157894736843,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_hybrid_logreg/external_metrics__blend_inverse_hybrid_logreg__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8588157894736843,1
confirmed_models/results_full_coverage_improvements/experiments/hybrid_knn_prob_logreg/external_metrics__hybrid_knn_prob_logreg__cal_none__thr_f1.csv,confirmed_models,auroc,0.8586842105263158,1
confirmed_models/results_full_coverage_improvements/experiments/hybrid_knn_prob_logreg/external_metrics__hybrid_knn_prob_logreg__cal_none__thr_kappa.csv,confirmed_models,auroc,0.8586842105263158,1
confirmed_models/results_full_coverage_improvements/experiments/hybrid_knn_prob_logreg/external_metrics__hybrid_knn_prob_logreg__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8586842105263158,1
confirmed_models/results_full_coverage_improvements/experiments/hybrid_knn_prob_logreg/external_metrics__hybrid_knn_prob_logreg__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8586842105263158,1
confirmed_models/results_full_coverage_improvements/experiments/weighted_knn_r2/external_metrics__weighted_knn_r2__cal_none__thr_f1.csv,confirmed_models,auroc,0.8566008771929825,1
confirmed_models/results_full_coverage_improvements/experiments/weighted_knn_r2/external_metrics__weighted_knn_r2__cal_none__thr_kappa.csv,confirmed_models,auroc,0.8566008771929825,1
confirmed_models/results_full_coverage_improvements/experiments/weighted_knn_r2/external_metrics__weighted_knn_r2__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8566008771929825,1
confirmed_models/results_full_coverage_improvements/experiments/weighted_knn_r2/external_metrics__weighted_knn_r2__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8566008771929825,1
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__challenger_proxy_meta_logreg_knn_plus_lgbm__cal_none__thr_f1.csv,confirmed_models,auroc,0.8564912280701754,1
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__challenger_proxy_meta_logreg_knn_plus_lgbm__cal_none__thr_kappa.csv,confirmed_models,auroc,0.8564912280701754,1
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__challenger_proxy_meta_logreg_knn_plus_lgbm__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8564912280701754,1
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__challenger_proxy_meta_logreg_knn_plus_lgbm__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8564912280701754,1
confirmed_models/results_full_coverage_improvements/experiments/knn_mean_r2_jaccard/external_metrics__knn_mean_r2_jaccard__cal_none__thr_f1.csv,confirmed_models,auroc,0.85625,1
confirmed_models/results_full_coverage_improvements/experiments/knn_mean_r2_jaccard/external_metrics__knn_mean_r2_jaccard__cal_none__thr_kappa.csv,confirmed_models,auroc,0.85625,1
confirmed_models/results_full_coverage_improvements/experiments/knn_mean_r2_jaccard/external_metrics__knn_mean_r2_jaccard__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.85625,1
confirmed_models/results_full_coverage_improvements/experiments/knn_mean_r2_jaccard/external_metrics__knn_mean_r2_jaccard__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.85625,1
confirmed_models/results_full_coverage_improvements/experiments/lgbm_morgan_r2_plus_knn_probs/external_metrics__lgbm_morgan_r2_plus_knn_probs__cal_none__thr_f1.csv,confirmed_models,auroc,0.8536403508771929,1
confirmed_models/results_full_coverage_improvements/experiments/lgbm_morgan_r2_plus_knn_probs/external_metrics__lgbm_morgan_r2_plus_knn_probs__cal_none__thr_kappa.csv,confirmed_models,auroc,0.8536403508771929,1
confirmed_models/results_full_coverage_improvements/experiments/lgbm_morgan_r2_plus_knn_probs/external_metrics__lgbm_morgan_r2_plus_knn_probs__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8536403508771929,1
confirmed_models/results_full_coverage_improvements/experiments/lgbm_morgan_r2_plus_knn_probs/external_metrics__lgbm_morgan_r2_plus_knn_probs__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8536403508771929,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_stacking/external_metrics__blend_inverse_stacking__cal_none__thr_f1.csv,confirmed_models,auroc,0.853421052631579,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_stacking/external_metrics__blend_inverse_stacking__cal_none__thr_kappa.csv,confirmed_models,auroc,0.853421052631579,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_stacking/external_metrics__blend_inverse_stacking__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.853421052631579,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_stacking/external_metrics__blend_inverse_stacking__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.853421052631579,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_hybrid_logreg/external_metrics__blend_inverse_hybrid_logreg__cal_isotonic__thr_f1.csv,confirmed_models,auroc,0.8528947368421052,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_hybrid_logreg/external_metrics__blend_inverse_hybrid_logreg__cal_isotonic__thr_kappa.csv,confirmed_models,auroc,0.8528947368421052,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_stacking/external_metrics__blend_inverse_stacking__cal_isotonic__thr_f1.csv,confirmed_models,auroc,0.8527412280701755,1
confirmed_models/results_full_coverage_improvements/experiments/blend_inverse_stacking/external_metrics__blend_inverse_stacking__cal_isotonic__thr_kappa.csv,confirmed_models,auroc,0.8527412280701755,1
confirmed_models/results_full_coverage_improvements/experiments/knn_mean_r3/external_metrics__knn_mean_r3__cal_none__thr_f1.csv,confirmed_models,auroc,0.8521929824561404,1
confirmed_models/results_full_coverage_improvements/experiments/knn_mean_r3/external_metrics__knn_mean_r3__cal_none__thr_kappa.csv,confirmed_models,auroc,0.8521929824561404,1
confirmed_models/results_full_coverage_improvements/experiments/knn_mean_r3/external_metrics__knn_mean_r3__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8521929824561404,1
confirmed_models/results_full_coverage_improvements/experiments/knn_mean_r3/external_metrics__knn_mean_r3__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8521929824561404,1
confirmed_models/results_full_coverage_improvements/experiments/distance_inverse_knn_r2/external_metrics__distance_inverse_knn_r2__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8519517543859649,1
confirmed_models/results_full_coverage_improvements/experiments/distance_inverse_knn_r2/external_metrics__distance_inverse_knn_r2__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8519517543859649,1
confirmed_models/results_full_coverage_improvements/baseline/external_metrics.csv,confirmed_models,auroc,0.8516008771929825,1
confirmed_models/results_full_coverage_improvements/experiments/blend_hybrid_stacking/external_metrics__blend_hybrid_stacking__cal_none__thr_f1.csv,confirmed_models,auroc,0.851140350877193,1
confirmed_models/results_full_coverage_improvements/experiments/blend_hybrid_stacking/external_metrics__blend_hybrid_stacking__cal_none__thr_kappa.csv,confirmed_models,auroc,0.851140350877193,1
confirmed_models/results_full_coverage_improvements/experiments/blend_hybrid_stacking/external_metrics__blend_hybrid_stacking__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.851140350877193,1
confirmed_models/results_full_coverage_improvements/experiments/blend_hybrid_stacking/external_metrics__blend_hybrid_stacking__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.851140350877193,1
confirmed_models/results_full_coverage_improvements/experiments/stacking_combo_logreg/external_metrics__stacking_combo_logreg__cal_none__thr_f1.csv,confirmed_models,auroc,0.8509210526315789,1
confirmed_models/results_full_coverage_improvements/experiments/stacking_combo_logreg/external_metrics__stacking_combo_logreg__cal_none__thr_kappa.csv,confirmed_models,auroc,0.8509210526315789,1
confirmed_models/results_full_coverage_improvements/experiments/stacking_combo_logreg/external_metrics__stacking_combo_logreg__cal_sigmoid__thr_f1.csv,confirmed_models,auroc,0.8509210526315789,1
confirmed_models/results_full_coverage_improvements/experiments/stacking_combo_logreg/external_metrics__stacking_combo_logreg__cal_sigmoid__thr_kappa.csv,confirmed_models,auroc,0.8509210526315789,1
confirmed_models/results_full_coverage_improvements/experiments/stacking_combo_logreg/external_metrics__stacking_combo_logreg__cal_isotonic__thr_f1.csv,confirmed_models,auroc,0.8506578947368422,1
confirmed_models/results_full_coverage_improvements/experiments/stacking_combo_logreg/external_metrics__stacking_combo_logreg__cal_isotonic__thr_kappa.csv,confirmed_models,auroc,0.8506578947368422,1
confirmed_models/results_full_coverage_improvements/experiments/blend_hybrid_stacking/external_metrics__blend_hybrid_stacking__cal_isotonic__thr_f1.csv,confirmed_models,auroc,0.8500657894736843,1
confirmed_models/results_full_coverage_improvements/experiments/blend_hybrid_stacking/external_metrics__blend_hybrid_stacking__cal_isotonic__thr_kappa.csv,confirmed_models,auroc,0.8500657894736843,1
confirmed_models/results_full_coverage_improvements/experiments/distance_inverse_knn_r2/external_metrics__distance_inverse_knn_r2__cal_isotonic__thr_f1.csv,confirmed_models,auroc,0.849407894736842,1
confirmed_models/results_full_coverage_improvements/experiments/distance_inverse_knn_r2/external_metrics__distance_inverse_knn_r2__cal_isotonic__thr_kappa.csv,confirmed_models,auroc,0.849407894736842,1
confirmed_models/results_full_coverage_improvements/experiments/distance_inverse_knn_r2/external_metrics__distance_inverse_knn_r2__cal_none__thr_f1.csv,confirmed_models,auroc,0.8493201754385965,1
