fold,auc,acc,se,f1,kappa,specificity,mcc,source_csv,source_name,model_group,row_index,metric,mean,std,split,auprc,model_name,accuracy,recall,auroc
1.0,0.9735571788628306,0.9117647058823528,0.934640522875817,0.9137380191693292,0.8235294117647058,0.8888888888830793,0.8243926780795865,noteworthy_models/nephrotox_fixed/results/cv_metrics.csv,noteworthy_models__nephrotox_fixed__results__cv_metrics.csv,nephrotox_fixed,0,,,,,,,,,
2.0,0.98560382758768,0.9281045751633988,0.9607843137254902,0.930379746835443,0.8562091503267975,0.8954248365954548,0.8580438339046541,noteworthy_models/nephrotox_fixed/results/cv_metrics.csv,noteworthy_models__nephrotox_fixed__results__cv_metrics.csv,nephrotox_fixed,1,,,,,,,,,
3.0,0.9745442036463708,0.9114754098360656,0.9078947368421052,0.9108910891089108,0.8229451097589817,0.9150326797325816,0.8229628044590118,noteworthy_models/nephrotox_fixed/results/cv_metrics.csv,noteworthy_models__nephrotox_fixed__results__cv_metrics.csv,nephrotox_fixed,2,,,,,,,,,
4.0,0.9836601307189542,0.9278688524590164,0.9673202614379084,0.9308176100628932,0.8556989247311828,0.888157894730999,0.8583619232097296,noteworthy_models/nephrotox_fixed/results/cv_metrics.csv,noteworthy_models__nephrotox_fixed__results__cv_metrics.csv,nephrotox_fixed,3,,,,,,,,,
5.0,0.9871431028551771,0.9377049180327868,0.9607843137254902,0.939297124600639,0.875389743038383,0.91447368420451,0.8763137071136844,noteworthy_models/nephrotox_fixed/results/cv_metrics.csv,noteworthy_models__nephrotox_fixed__results__cv_metrics.csv,nephrotox_fixed,4,,,,,,,,,
,,,,,,,,noteworthy_models/nephrotox_fixed/results/cv_summary.csv,noteworthy_models__nephrotox_fixed__results__cv_summary.csv,nephrotox_fixed,0,auc,0.9809016887342026,0.005710232991793,,,,,,
,,,,,,,,noteworthy_models/nephrotox_fixed/results/cv_summary.csv,noteworthy_models__nephrotox_fixed__results__cv_summary.csv,nephrotox_fixed,1,acc,0.923383692274724,0.0102402044878577,,,,,,
,,,,,,,,noteworthy_models/nephrotox_fixed/results/cv_summary.csv,noteworthy_models__nephrotox_fixed__results__cv_summary.csv,nephrotox_fixed,2,se,0.9462848297213622,0.0222366749918444,,,,,,
,,,,,,,,noteworthy_models/nephrotox_fixed/results/cv_summary.csv,noteworthy_models__nephrotox_fixed__results__cv_summary.csv,nephrotox_fixed,3,f1,0.9250247179554428,0.0108911391376661,,,,,,
,,,,,,,,noteworthy_models/nephrotox_fixed/results/cv_summary.csv,noteworthy_models__nephrotox_fixed__results__cv_summary.csv,nephrotox_fixed,4,kappa,0.8467544679240101,0.0204727236957969,,,,,,
,,,,,,,,noteworthy_models/nephrotox_fixed/results/cv_summary.csv,noteworthy_models__nephrotox_fixed__results__cv_summary.csv,nephrotox_fixed,5,specificity,0.9003955968293249,0.0119942559399934,,,,,,
,,,,,,,,noteworthy_models/nephrotox_fixed/results/cv_summary.csv,noteworthy_models__nephrotox_fixed__results__cv_summary.csv,nephrotox_fixed,6,mcc,0.8480149893533333,0.0209479342563235,,,,,,
,0.734978354978355,0.7006578947368421,0.5266666666666666,0.6345381526104418,0.3985563962083659,0.87012987012422,0.4233302812698527,noteworthy_models/nephrotox_fixed/results/external_metrics.csv,noteworthy_models__nephrotox_fixed__results__external_metrics.csv,nephrotox_fixed,0,,,,all,0.7805245535981994,,,,
,0.7594292803970223,0.7322834645669292,0.5692307692307692,0.6851851851851852,0.4686192468619247,0.9032258064443288,0.4990459669247827,noteworthy_models/nephrotox_fixed/results/external_metrics.csv,noteworthy_models__nephrotox_fixed__results__external_metrics.csv,nephrotox_fixed,1,,,,high_confidence,0.809695281590884,,,,
,,,,0.6339622641509434,0.3566000439270811,0.7960526315789473,0.3666164097114309,noteworthy_models/nephrotox_project_plus/outputs_compare/leaderboard.csv,noteworthy_models__nephrotox_project_plus__outputs_compare__leaderboard.csv,nephrotox_project_plus,0,,,,,,chemberta,0.6788079470198676,0.56,0.7278508771929824
,,,,0.628158844765343,0.3171620494358343,0.7368421052631579,0.3209145654362835,noteworthy_models/nephrotox_project_plus/outputs_compare/leaderboard.csv,noteworthy_models__nephrotox_project_plus__outputs_compare__leaderboard.csv,nephrotox_project_plus,1,,,,,,gin_hybrid,0.6589403973509934,0.58,0.6840789473684211
,,,,0.5405405405405406,0.210466189199877,0.743421052631579,0.2187138001136548,noteworthy_models/nephrotox_project_plus/outputs_compare/leaderboard.csv,noteworthy_models__nephrotox_project_plus__outputs_compare__leaderboard.csv,nephrotox_project_plus,2,,,,,,gin,0.6059602649006622,0.4666666666666667,0.6421052631578948
