iter	Passed	Remaining
0	103	51412
1	175	43666
2	248	41147
3	320	39743
4	392	38847
5	468	38580
6	540	38037
7	612	37653
8	683	37268
9	755	37003
10	827	36794
11	898	36543
12	971	36376
13	1043	36240
14	1114	36041
15	1185	35849
16	1263	35903
17	1345	36037
18	1426	36118
19	1499	35992
20	1571	35849
21	1643	35701
22	1716	35598
23	1788	35481
24	1861	35359
25	1936	35304
26	2008	35187
27	2086	35176
28	2158	35052
29	2229	34932
30	2302	34827
31	2374	34721
32	2446	34617
33	2529	34668
34	2609	34665
35	2722	35084
36	2800	35049
37	2877	34985
38	2953	34910
39	3025	34795
40	3097	34682
41	3169	34565
42	3240	34441
43	3311	34319
44	3384	34223
45	3456	34116
46	3527	34002
47	3599	33899
48	3671	33790
49	3743	33688
50	3816	33597
51	3895	33560
52	3969	33475
53	4041	33375
54	4121	33347
55	4197	33279
56	4270	33190
57	4342	33091
58	4415	33001
59	4488	32918
60	4560	32822
61	4633	32733
62	4703	32628
63	4775	32530
64	4849	32454
65	4921	32363
66	4992	32265
67	5064	32171
68	5137	32088
69	5207	31987
70	5279	31902
71	5350	31806
72	5424	31731
73	5500	31666
74	5573	31582
75	5644	31490
76	5717	31407
77	5787	31314
78	5860	31229
79	5931	31140
80	6003	31053
81	6078	30984
82	6157	30935
83	6229	30850
84	6300	30763
85	6374	30687
86	6448	30611
87	6521	30531
88	6593	30448
89	6665	30366
90	6736	30276
91	6807	30191
92	6880	30112
93	6952	30028
94	7024	29946
95	7095	29862
96	7169	29786
97	7240	29702
98	7312	29618
99	7385	29541
100	7456	29456
101	7527	29370
102	7597	29283
103	7669	29204
104	7743	29130
105	7815	29049
106	7888	28972
107	7958	28886
108	8035	28824
109	8106	28741
110	8178	28661
111	8252	28588
112	8322	28504
113	8397	28433
114	8469	28354
115	8542	28277
116	8614	28197
117	8687	28123
118	8759	28044
119	8832	27970
120	8905	27895
121	8977	27814
122	9049	27738
123	9121	27658
124	9193	27581
125	9267	27507
126	9346	27450
127	9422	27385
128	9494	27305
129	9566	27226
130	9637	27147
131	9709	27069
132	9779	26986
133	9853	26912
134	9925	26834
135	9994	26748
136	10065	26668
137	10136	26591
138	10208	26512
139	10279	26434
140	10352	26358
141	10423	26280
142	10495	26202
143	10568	26127
144	10640	26050
145	10713	25975
146	10785	25899
147	10855	25819
148	10934	25758
149	11018	25710
150	11143	25755
151	11225	25700
152	11309	25650
153	11385	25581
154	11465	25519
155	11550	25471
156	11629	25407
157	11702	25331
158	11776	25257
159	11849	25180
160	11921	25101
161	11991	25019
162	12061	24937
163	12135	24862
164	12207	24785
165	12279	24706
166	12351	24629
167	12424	24552
168	12493	24470
169	12566	24393
170	12638	24315
171	12708	24235
172	12781	24158
173	12853	24081
174	12925	24004
175	12997	23926
176	13072	23855
177	13143	23775
178	13213	23696
179	13287	23621
180	13360	23546
181	13430	23467
182	13504	23393
183	13575	23313
184	13647	23237
185	13719	23161
186	13791	23084
187	13863	23007
188	13934	22929
189	14005	22851
190	14078	22775
191	14152	22702
192	14225	22627
193	14295	22548
194	14368	22473
195	14440	22396
196	14513	22322
197	14585	22246
198	14658	22172
199	14729	22094
200	14802	22019
201	14872	21940
202	14944	21864
203	15016	21789
204	15090	21715
205	15161	21638
206	15233	21561
207	15304	21484
208	15376	21409
209	15447	21331
210	15521	21259
211	15592	21182
212	15664	21106
213	15737	21031
