scaffold,frequency
c1ccccc1,52
C1=CCCCC1,5
C1CCCCC1,5
O=c1[nH]cnc2[nH]cnc12,4
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,3
O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,3
O=c1cc[nH]c2cc(N3CCNCC3)ccc12,3
O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,3
C(=NC=NCCCCCCN=CN=CNc1ccccc1)Nc1ccccc1,2
O=C(c1ccccc1)c1ccccc1,2
O=S(Cc1ccccn1)c1nc2ccccc2[n-]1,2
O=[PH]1NCCCO1,2
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,2
c1ccc(CC2=NCCN2)cc1,2
c1ccc(Cc2ccccc2)cc1,2
c1ccncc1,2
c1ncc2nc[nH]c2n1,2
C(=Cc1ccc2ccccc2n1)c1cccc([C](CCc2ccccc2)SCC2CC2)c1,1
C(=Cc1ccccc1)c1ccccc1,1
C(CN1CCCC1)=C(c1ccccc1)c1ccccn1,1
C1=CC(=Nc2ccccc2)C=CC1=Nc1ccccc1,1
C1=CCCC=C1,1
C1=Cc2ccccc2N(CCCN2CCNCC2)c2ccccc21,1
C1=Nc2ccccc2C(c2ccccc2)=[NH+]C1,1
C1=Nc2ccccc2Oc2ccccc21,1
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1
C1CCC(OC2CCCOC2)OC1,1
C1CCC(OC2CCOC2)OC1,1
C1CCC2C(C1)CCC1C3CCCC3CCC21,1
C1CCNCC1,1
C1CO1,1
C1C[C]2CC[C]1C2,1
C=C(C(=C)c1ccccc1)c1ccccc1,1
C=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,1
C=C(c1ccccc1)c1ccc2c(c1)CCCC2,1
C=C1CCCC1n1cnc2c(=O)[nH]cnc21,1
C=C1CN2C(=O)CC2O1,1
N=C(C(=O)NC1C(=O)N2C=C(CSc3nc(=O)c(=O)[nH][nH]3)CSC12)c1cscn1,1
N=C(C(=O)N[C]1[C]2SCC(C[n+]3ccccc3)=CN2C1=O)c1cscn1,1
N=C(C(=O)N[C]1[C]2SCC=CN2C1=O)c1ccco1,1
O=C(CCC1CCCC1)OC1CCC2C1CCC1c3ccccc3CCC12,1
O=C(CCC=CCCC(=O)OCCC[NH+]1CCc2ccccc2[C]1Cc1ccccc1)OCCC[NH+]1CCc2ccccc2[C]1Cc1ccccc1,1
O=C(CCCCC(=O)Nc1ccccc1)Nc1ccccc1,1
O=C(CCCN1CCCC1)c1ccccc1,1
