scaffold,frequency
C1CCCCC1,169
CC1[CH]CCCC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[C](CC2CCCCC2)CC(C)[CH]C1,43
CC(CCC1CCCCC1)C1CCCC(C2CCC(CC3CCCCC3)C2)C1,32
C1CCC(CC2CCCCC2)CC1,26
CC1(CCCCC2CCC3CCCCC32)CCCC(C2CCCCC2)C1,24
CC1CCC2C(CCC3C4CCCC4CCC23)C1,23
C1CCC(C2CCCC2)CC1,22
C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1,21
C1CCCC1,20
CC1[CH][CH]CC(CC2CCCCC2)C1,18
C1CCC(C2CCCCC2)CC1,17
CC1[CH]CC(C)[CH]CC(C)[C](CC2CCCCC2)CC(C)[CH]CC(C)[C](CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)C2CCCC(C3CCCCC3)C2)CCCC(C)[CH]CC(C)[CH]C1,16
C1CCC2CCCC2C1,15
CC1[CH]CCCC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[CH]C1,15
C1CCC2CCCCC2C1,14
CC1CCCC1,13
CC(CC(CCC1CCCCC1)CC1CCCCC1)C1CCCCC1,10
CC1CCC(C2CCCCC2)C2CCCCC2C1,10
CC1CCCC2CCCC12,10
C1CCC(CC2CCCC2)CC1,8
C1CCC(CCC2CCCCC2)CC1,8
CC(CC1C(C)C2CCCCC21)C(C)C1CCCC1,8
C1CCC(CCCC2C3CCCCC3CC3CCCCC32)CC1,7
CC1CC(C)CC(C)C1,7
CC1CCCCC1,7
C1CCC(CC(C2CCCCC2)C2CCCCC2)CC1,6
C1CCC(CC2CCCC(CC3CCCCC3)C2)CC1,6
C1CCC(CCC2CCC(C3CCCCC3)C2)CC1,6
C1CCC(CCC2CCCC(C3CCCC3)C2)CC1,6
C1CCC2C(C1)CCC1C3CCCC3CCC21,6
C(CCCC1CCCCC1)CCC1CCCCC1,5
C1CCC2C(C1)CCC2C1CCCC1,5
C1CCC2CC3CCCCC3CC2C1,5
C1CCC2CC3CCCCC3CCC2C1,5
CC(C1CCCCC1)C1CCCCC1,5
CC(CC[CH][C]1CC[C]2[C]3CC[C]4C[CH]CCC4[C]3C[CH]C12)CCCCCC(C)CCCCC1CCC2CCCCC12,5
CC(CC[CH][C]1CC[C]2[C]3[CH]C[C]4C[CH]CCC4[C]3CCC12)CCCCCC(C)CCCCC1CCC2CCCCC12,5
CC1(C)CCCC2CCCCC21,5
CC1CCC2[C]3CCC4CCC[C]4[C]3CCC2C1,5
[CH]1CCC(C2CCCCC2)C1,5
C1CCC(C(C2CCCCC2)C2CCCCC2)CC1,4
C1CCC(C2CCC3CCCC3C3CCCCC23)CC1,4
C1CCC(C2CCCC2C2CCCCC2)CC1,4
C1CCC(CC2CCCC3CCCCC32)CC1,4
C1CCC(CCC2CCCC2)CC1,4
CC(C)(CC1CCCCC1)C1CC2CCCCC2C1,4
CC(CC1CCCCC1)C1CCCCC1,4
CC(CC1CCCCC1)CC(C)(C)C1CCCCC1,4
CC(CC1CCCCC1)CC1C(C)C2CCCCC21,4
CC(CCC1CCCCC1)C1CCCCC1,4
CC(CCC1C[C]2CCC1C2)C1C2CCC3(C2)CC(C2CCCCC2)C(C)C13,4
CC1C2CCCCC2CCC2CCCCC21,4
CC1CCC2C(CCC3C4CCCC4CC(C)C23)C1,4
CC1CCCCC1C1CCCCC1,4
CC1[CH][CH][CH]C1,4
[CH]1CC[C]2CC3CCC4CCCC(C2C1)C43,4
[CH]1[CH]C[C](C2CCC3CCCCC32)[CH]1,4
C1CCC(C2C3CCCCC3CCC3CCCCC32)CC1,3
C1CCC(CC2CCC(C3CCCCC3)C2)CC1,3
C1CCC(CCC2CCC3CCCCC3C2)CC1,3
C1CCC(CCCCCC2CCCCC2)CC1,3
C1CCC2C(C1)CC1CCC3CCCC2C31,3
CC(CC1CCCCC1)C1CC2CCCCC2C1,3
CC(CC1CCCCC1)CC1CC2CC(C1)C1CC21,3
CC(CCC1CCCCC1)C1CCCC(C2CCCC2)C1,3
CC([CH]C1CCCCC1)C[C]1[C]2CCCCC2C1C,3
CC1C(C)C2C3CCCCC3CCC2C2CCCC12,3
CC1C2CCCCC2C(C)C2CCCCC12,3
CC1CC(C)C(C2CCCCC2)C1,3
CC1CC2CC3CC4CCCCC4CC3C(C)C2C(C)C1C,3
CC1CCC(C)C2CCCCC12,3
CC1CCC(C2CCCC2)C(C)C1,3
CC1CCC(C2CCCCC2)CC1,3
CC1CCC2C(CCC3C2CCC2C4CCCC4CC23)C1,3
CC1CCC2[C]3CC4CCCC5C[C]1C2(CCC3CC1CC1)C45,3
CC1CCC2[C]3CCCC24[C]1CC1CCCC(C3)C14,3
CC1CCC2[C]3[C](CCC2C1)[C]1CCCC1CC3C,3
CC1CCCC1CCCCCCCCCCCCCC1CCC(C2CCCC2)C1,3
CC1CCCCC1[C]1[CH][CH][CH]C1,3
CC1[CH]CC(C)C(C)CC(C)CCCCC(C)CCC(C)CCC(C)[CH]CC[CH]C1,3
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)CCC2CCC(C3CCCCC3)C2)CCCC(C)CCC(C)CCC(C)[CH]C1,3
CC1[CH][CH]C2CCC(CC2)CC2CC3CC(CC4CCC([CH][C]5CC(C)[C](CC(C)[C]3CC(C)[CH]C1)C1CCCC(C1)C1CCCCC1[CH]CC5C)CC4)C2C[C]1C[CH][CH][CH][C]1C[C]1C[CH][CH]CC1,3
[CH]1CC[C]2[C]3CCCC24[C]1CC1CCCC(C3)C14,3
C1C2CC3CC1CC(C2)C3,2
C1CC2CCC1C2,2
C1CC2CCCC2C1,2
C1CCC(C2CC3CCCCC3C2)CC1,2
C1CCC(C2CC3CCCCC3CC3CCCCC32)CC1,2
C1CCC(C2CCC3CCCCC32)CC1,2
C1CCC(C2CCCC(CCC3CCC4CCCC4C3)C2)CC1,2
C1CCC(C2CCCCC2C2CCCC2)CC1,2
C1CCC(C2CCCCC3CCCCC32)CC1,2
C1CCC(CC2CCC(C3CCCCC3C3CCCC3)CC2)C1,2
C1CCC(CC2CCCC3CCCC32)CC1,2
C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1,2
C1CCC(CCC2CCC(C3CCCCC3)CC2)CC1,2
C1CCC(CCC2CCC3CC(CC4CCCCC4)CCC23)CC1,2
C1CCC(CCCCCC2CCCC3CCCCC23)CC1,2
C1CCC23CCC[C](CC4CCCCC42)[C]3C1,2
C1CCCCCCCCCCC1,2
CC(C)(CC1CCCC1)C1CCCCC1,2
CC(C1CCCC1)C1CCC(C2CCC3CCCCC3C2)CC1,2
CC(C1CCCCC1)C1CCCC1,2
CC(CC1C(C)C2CC(CC3CCCC3)CCC21)C(C)C1CCCC1,2
CC(CC1CCCCC1)C1CCC(C2CCCCC2)C1C1CCCCC1,2
CC(CC1CCCCC1)CC1C(C)C2CCCC21,2
CC(CCC1CCCC(CC2CCCCC2)C1)C1CC1,2
CC(CCC1CCCCC1)C1CCCC(C2CCC(C[C]3CC[CH]CC3)C2)C1,2
CC(CCC1CCCCC1)C1CCCC1,2
CC(CCCC1CCCCC1)C1CCCCC1,2
CC(CCCCCC1CCC2CCC(C)C2C1)CCCC1CCCCC1,2
CC(C[C]1[C]2CCC(CCC3CCCC3)CC2C1C)C(C)C1CCCC1,2
CC(C[C]1[C]2CCCCC2C1C)C(C)C1CCCC1,2
CC(C[C]1[C]2CC[CH]C2C1C)CC1CCCCC1,2
CC([CH]C1CCCCC1)C[C]1[C]2CC[CH]C2C1C,2
CC([CH]C[CH]CCC1CCCCC1)C1[CH]CCC1,2
CC([CH]C[CH]CCC1CCCCC1)C1[CH]C[C]2CCCC[C]21,2
CC([CH]C[CH]CCC1CCCCC1)C1[CH]C[C]2CCC[C]21,2
CC1(CCCCC2CCC3CCCCC32)CCCC(C2CCCC2)C1,2
CC1(CCCCC2CCC3CCCCC32)CCC[C](C2CCCCC2)C1,2
CC1C(CC2CCCC2)CCC2CC3CCCCC3C21,2
CC1C(CCC2CCCC(C3CCCCC3)C2)CCC1C1CCCCC1,2
CC1C2CCCCC2CC(C2CCCCC2)C1C1C(C)C2CCCCC2CC1C1CCCCC1,2
CC1CC(C)C2C3CCC(C3)C12,2
CC1CC(C)C2CCCC2C1,2
CC1CC(C)C2CCCCC12,2
CC1CC(C2CCCCC2)CC2CCCCC12,2
CC1CC2CCCCC2C1,2
CC1CC2CCCCC2CC1CC1CCCCC1,2
CC1CC2CCCCC2CCC1CCCCC1CCCCC1,2
CC1CCC(C)C1,2
CC1CCC(C)C1C1CCCCC1,2
CC1CCC(C)CC2C(C)CC3C(C)CC(CC4CCC(CC4)CC4CC2CC(CC2CCC(CC1)CC2)C4CC1CCCCC1CC1CCCCC1)C(C)CCC1CCCCC1C1CCCC3C1,2
