scaffold,frequency
C1CCCCC1,74
CC1[CH]CCCC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[C](CC2CCCCC2)CC(C)[CH]C1,43
CC(CCC1CCCCC1)C1CCCC(C2CCC(CC3CCCCC3)C2)C1,32
CC1(CCCCC2CCC3CCCCC32)CCCC(C2CCCCC2)C1,24
C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1,21
CC1[CH][CH]CC(CC2CCCCC2)C1,18
C1CCC(C2CCCC2)CC1,17
CC1[CH]CC(C)[CH]CC(C)[C](CC2CCCCC2)CC(C)[CH]CC(C)[C](CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)C2CCCC(C3CCCCC3)C2)CCCC(C)[CH]CC(C)[CH]C1,16
CC1[CH]CCCC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)[CH]C1,15
C1CCC(CC2CCCCC2)CC1,10
CC(CC(CCC1CCCCC1)CC1CCCCC1)C1CCCCC1,10
C1CCC2CCCC2C1,8
CC(CC1C(C)C2CCCCC21)C(C)C1CCCC1,8
CC1CCCC2CCCC12,7
C1CCC(CC2CCCC(CC3CCCCC3)C2)CC1,6
C1CCC(CCC2CCC(C3CCCCC3)C2)CC1,6
C1CCC(CCC2CCCC(C3CCCC3)C2)CC1,6
C1CCC(C2CCCCC2)CC1,5
C1CCC2CCCCC2C1,5
C1CCCC1,5
CC(CC[CH][C]1CC[C]2[C]3CC[C]4C[CH]CCC4[C]3C[CH]C12)CCCCCC(C)CCCCC1CCC2CCCCC12,5
CC(CC[CH][C]1CC[C]2[C]3[CH]C[C]4C[CH]CCC4[C]3CCC12)CCCCCC(C)CCCCC1CCC2CCCCC12,5
CC1CCCCC1,5
[CH]1CCC(C2CCCCC2)C1,5
CC(C)(CC1CCCCC1)C1CC2CCCCC2C1,4
CC(C1CCCCC1)C1CCCCC1,4
CC(CC1CCCCC1)CC(C)(C)C1CCCCC1,4
CC(CC1CCCCC1)CC1C(C)C2CCCCC21,4
CC(CCC1C[C]2CCC1C2)C1C2CCC3(C2)CC(C2CCCCC2)C(C)C13,4
CC(CC1CCCCC1)C1CC2CCCCC2C1,3
CC(CCC1CCCCC1)C1CCCC(C2CCCC2)C1,3
CC1CC2CC3CC4CCCCC4CC3C(C)C2C(C)C1C,3
CC1CCCC1,3
CC1CCCC1CCCCCCCCCCCCCC1CCC(C2CCCC2)C1,3
CC1[CH]CC(C)C(C)CC(C)CCCCC(C)CCC(C)CCC(C)[CH]CC[CH]C1,3
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)CCC2CCC(C3CCCCC3)C2)CCCC(C)CCC(C)CCC(C)[CH]C1,3
CC1[CH][CH]C2CCC(CC2)CC2CC3CC(CC4CCC([CH][C]5CC(C)[C](CC(C)[C]3CC(C)[CH]C1)C1CCCC(C1)C1CCCCC1[CH]CC5C)CC4)C2C[C]1C[CH][CH][CH][C]1C[C]1C[CH][CH]CC1,3
C1CCC(C2CCC3CCCCC32)CC1,2
C1CCC(C2CCCC(CCC3CCC4CCCC4C3)C2)CC1,2
C1CCC(C2CCCCC2C2CCCC2)CC1,2
C1CCC(CC2CCC(C3CCCCC3)C2)CC1,2
C1CCC(CC2CCC(C3CCCCC3C3CCCC3)CC2)C1,2
C1CCC(CC2CCCC3CCCCC32)CC1,2
C1CCC(CCC2CCC(C3CCCCC3)CC2)CC1,2
C1CCC(CCC2CCCCC2)CC1,2
C1CCC2C(C1)CCC2C1CCCC1,2
CC(CC1C(C)C2CC(CC3CCCC3)CCC21)C(C)C1CCCC1,2
CC(CC1CCCCC1)C1CCC(C2CCCCC2)C1C1CCCCC1,2
CC(CCC1CCCC(CC2CCCCC2)C1)C1CC1,2
CC(CCC1CCCCC1)C1CCCC(C2CCC(C[C]3CC[CH]CC3)C2)C1,2
CC(CCC1CCCCC1)C1CCCCC1,2
CC(C[C]1[C]2CCC(CCC3CCCC3)CC2C1C)C(C)C1CCCC1,2
CC([CH]C[CH]CCC1CCCCC1)C1[CH]CCC1,2
CC([CH]C[CH]CCC1CCCCC1)C1[CH]C[C]2CCCC[C]21,2
CC([CH]C[CH]CCC1CCCCC1)C1[CH]C[C]2CCC[C]21,2
CC1(CCCCC2CCC3CCCCC32)CCCC(C2CCCC2)C1,2
CC1(CCCCC2CCC3CCCCC32)CCC[C](C2CCCCC2)C1,2
CC1C2CCCCC2C(C)C2CCCCC12,2
CC1C2CCCCC2CC(C2CCCCC2)C1C1C(C)C2CCCCC2CC1C1CCCCC1,2
CC1CC(C)C2C3CCC(C3)C12,2
CC1CC(C)C2CCCCC12,2
CC1CC(C)CC(C)C1,2
CC1CCC(C)CC2C(C)CC3C(C)CC(CC4CCC(CC4)CC4CC2CC(CC2CCC(CC1)CC2)C4CC1CCCCC1CC1CCCCC1)C(C)CCC1CCCCC1C1CCCC3C1,2
CC1CCC(C2CC2)C2CC(C3CCCCC3)CCC12,2
CC1CCC2C(C1)CC1CC3CCCCC3CC1C2C,2
CC1CCC2CCC(CCC3CCCC(C4CCCCC4)C3)CC12,2
CC1CCCCC1C1CCCC1,2
CC1CCCCC1C1CCCCC1,2
CC1CCCCC1[C]1[CH][CH][CH]C1,2
CC1CCCCCCCCCCCC2CCCC(C2)C(C)C(C)C2CCCCC2C(C)CC(CCC2CCCCC2)CC(C)CCCCC1,2
CC1C[CH]C[C](CC[C]2[CH]CCC3C[CH]C[CH][C]23)C1,2
CC1[CH]CC(C)[CH]CC(C)[C](CC2CCCCC2)CC(C)[CH]CC(C)[C](CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)C2CCC(C3CCCCC3)CC2)CCCC(C)[CH]CC(C)[CH]C1,2
CC1[CH]CC(C)[CH]CC(C)[C](CC2CCCCC2)CC(C)[CH]CC(C)[C](CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)CC2CCCCC2)CCCC(C)[CH]CC(C)[CH]C1,2
CC1[CH][CH]CC[CH]C(C)C[C]([CH]C[C]2C[CH][CH]CC2)CC(C)[C]2CCCCC2C(C)C(C)C2[CH]CC[C](C[CH]CCCCCC[CH]C[CH]1)C2,2
[CH]1C[C]2CCCC[C]2C1,2
[CH]1[CH]C[C](C2CCC3CCCCC32)[CH]1,2
[CH]1[CH][CH]C[CH][CH]1,2
C1C2C3C4CC5C3C1C5C24,1
C1CC2CC(C1)CC1C3CCCCC3CC1C(C1CCC3CC4CCC5CCCC6CCC4(C3C1)C56)C2,1
C1CC2CC3CC4CCC5CCCC(C3CC2C1)C54,1
C1CC2CCC1C2,1
C1CC2CCC1CC2,1
C1CC2CCC3CCCC3C2C1,1
C1CCC(C(C2CCCCC2)C2CCCCC2)CC1,1
C1CCC(C2(C3CCCCC3)CCCC2)CC1,1
C1CCC(C2(CC3CCCC3)CCCC2)CC1,1
C1CCC(C2CC(C3CC3)CC3CCCCC32)CC1,1
C1CCC(C2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1,1
C1CCC(C2CC2CC2CCCC3C(C4CCCC4)CCC23)CC1,1
C1CCC(C2CC3CCCCC3C2)CC1,1
C1CCC(C2CCC(C3CCCCC3)CC2)CC1,1
C1CCC(C2CCC(CC3CCC4CCC(C5CC6CCCCC6C5)CC43)CC2)CC1,1
C1CCC(C2CCCC2C2CCCCC2)CC1,1
C1CCC(C2CCCC3CCCC32)C1,1
C1CCC(CC(C2CCCCC2)C2CCCCC2)CC1,1
C1CCC(CC(CC2CCCC2)C2CCCCC2)CC1,1
C1CCC(CC2CC3CCCCC3C2)CC1,1
C1CCC(CC2CCC(CC3CCC4C(CCC5C4CCC4C6CCCCC6CCC45)C3)C(CC3CCCCC3)C2)CC1,1
C1CCC(CC2CCC3C(CCC4C3CCC3C5CCCCC5CCC34)C2)CC1,1
C1CCC(CC2CCCC(C3CC3)C2)CC1,1
C1CCC(CC2CCCC(C3CCCCC3)C2)CC1,1
C1CCC(CC2CCCC2)CC1,1
C1CCC(CC2CCCC2CC2CCCCC2)CC1,1
C1CCC(CC2CCCC3CC(CC4CCCC4)CCC23)CC1,1
C1CCC(CC2CCCC3CCCC32)CC1,1
C1CCC(CCC2CC3CCC2C3)CC1,1
C1CCC(CCC2CCC3CCCCC3C2)CC1,1
C1CCC(CCC2CCCC(C3CCC(CCC4CC4)CC3)C2)CC1,1
C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,1
C1CCC(CCC2CCCC2)CC1,1
C1CCC(CCCCC2CCC3C(CC4CCCCC4)CCCC3C2)CC1,1
C1CCC(CCCCC2CCCC(CC3CCCCC3)C2)CC1,1
C1CCC(CCCCC2CCCCC2)CC1,1
C1CCC(CCCCCC2CCCCC2)CC1,1
C1CCC([C](C2CCCCC2)C2CCCCC2)CC1,1
C1CCC([C]2CCCC[C]2CCC2CCC3CCCC3C2)CC1,1
C1CCC23CC4CC(CC(C4)C2C1)C3,1
C1CCC2C(C1)CC1CC2CC2C3CCCC3CCC12,1
