scaffold,frequency
c1ccccc1,46
O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]N1,43
O=C(NCc1ccccc1)c1cc(-c2nnn(CC3CCCCC3)n2)ccn1,22
O=P1(COCCn2cnc3cncnc32)OCCC(c2ccccc2)O1,22
c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,21
O=C1[CH][CH]CC(Nc2ccccc2)=C1,17
O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]N1,15
c1ccc(C2=NCCS2)cc1,12
O=C(NC(=NCc1ccccc1)Nc1ccccc1)c1ccccc1,10
c1ccncc1,8
O=C1[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[C](NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)c2cccc(-c3ccccc3)c2)CCNC(=O)[CH]NC(=O)[CH]N1,7
O=C1[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[C](NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)c2ccnc(-c3ccccc3)c2)CCNC(=O)[CH]NC(=O)[CH]N1,6
c1ccc(OCc2cnc(-c3ccccc3)s2)cc1,6
c1ccc(Oc2ccccc2)cc1,6
c1ncncn1,6
C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,5
N=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,5
O=C(CC[CH][C]1CC[C]2[C]3CC[C]4C[CH]CCC4[C]3C[CH]C12)OCCCO[PH](=O)COCCn1cnc2cncnc21,5
O=C(CC[CH][C]1CC[C]2[C]3[CH]C[C]4C[CH]CCC4[C]3CCC12)OCCCO[PH](=O)COCCn1cnc2cncnc21,5
[CH]1CSC(c2ccccc2)=N1,5
c1ccc(OCc2cccc(-c3cnoc3)c2)cc1,5
c1cncnc1,5
c1ncc2nc[nH]c2n1,5
C1CCCCC1,4
O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,4
