canonical SMILES,label
CC(O)=O,0
NCC(O)=O,0
CC(=O)NO,0
CS(C)=O,0
Cc1c[nH][n]c1,0
CC(O)C(O)=O,0
OC(CO)CO,0
N=C1C=CNC=C1,0
OC(CC=O)C=O,0
N[C@@]1CONC1=O |^1:1|,0
NCCCC(O)=O,0
OCCCC(O)=O,0
Oc1ccc(O)cc1,0
OS(O)(=O)=S,0
CN1C=CNC1=S,0
COC1CCC(=O)N1,0
C[N+](C)(C)CC([O-])=O,0
NC(CO)(CO)CO,0
OC(=O)c1ccc[n]c1,0
OC(=O)c1ccccc1,0
NC(=O)c1c[n]cc[n]1,0
OCC(S)CS,0
NC1NC(=O)N=CC=1F,0
CN(C)C(=N)NC(N)=N,0
O=C1NC=C(F)C(=O)N1,0
NCC(=O)CCC(O)=O,0
CC1OC(C)OC(C)O1,0
O=CC=Cc1ccccc1,0
N[C@@]1CC1c1ccccc1 |^1:1|,0
CC(N)Cc1ccccc1,0
CNCCc1cccc[n]1,0
NNCCc1ccccc1,0
CC1=CCC2CC1C2(C)C,0
NNC(=O)c1cc[n]cc1,0
"C[C@@]1O[C@@]1P(O)(O)=O |^1:1,3|",0
Oc1ccccc1C(O)=O,0
C1N2CN3CN1CN(C2)C3,0
CCC1(C)CC(=O)NC1=O,0
CCCC(CCC)C(O)=O,0
NC(=O)CCC(N)C(O)=O,0
NCCNCCNCCN,0
CC(C)(S)[C@@](N)C(O)=O |^1:4|,0
CN[C@@](C)Cc1ccccc1 |^1:2|,0
CC(C)(N)Cc1ccccc1,0
CC(N)C(O)c1ccccc1,0
S=C1N=CNc2[n]c[nH]c21,0
Nc1cc(O)c(cc1)C(O)=O,0
NCCc1cc(O)c(O)cc1,0
Cc1c[n]c(c[n+]1[O-])C(O)=O,0
CC(C)=CCCC(C)(O)C=C,0
CN(CCCl)CCCl,0
CC(=CC(O)=O)C=CC(O)=O,0
CN1CCCC1c1c[n]ccc1,0
CC(=O)N[C@@](CS)C(O)=O |^1:4|,0
CC(S)C(=O)NCC(O)=O,0
CCOC(=O)c1ccc(N)cc1,0
"C[C@](NC)[C@](O)c1ccccc1 |^1:1,4|",0
CC(=O)c1ccc(cc1O)OC,0
CCc1cc(cc[n]1)C(N)=S,0
NC1Nc2[n]c[nH]c2C(=S)N=1,0
CNC[C@](O)c1cc(O)ccc1 |^1:3|,0
CC1(C)C2CC(CC2)C1(C)NC,0
NC[C@](O)c1cc(O)c(O)cc1 |^1:2|,0
Cc1[n]cc(CO)c(CO)c1O,0
NCC(O)c1cc(O)c(O)cc1,0
O=C1Nc2cc(Cl)ccc2O1,0
OC(=O)c1cc(O)c(O)c(O)c1,0
CC[C@](C(N)=O)N1CCCC1=O |^1:2|,0
CCC(C(N)=O)N1CCCC1=O,0
CCCC1=CC(=O)NC(=S)N1,0
Cc1[n]cc([n]1CCO)[N+]([O-])=O,0
Nc1ccc(cc1)S(N)(=O)=O,0
NC(=N)NCCC[C@](N)C(O)=O |^1:7|,0
NC(N)=NCCCC(N)C(O)=O,0
"O[C@@](CO)[C@]1OC(=O)C(O)=C1O |^1:1,4|",0
OC(CO)C1OC(=O)C(O)=C1O,0
c1cc[s]c1C=Cc1cc[n][nH]1,0
CC(C)c1cccc(C(C)C)c1O,0
CC(N)COc1c(C)cccc1C,0
CC(N)C12CC3CC(C1)CC(C2)C3,0
NCCCC(N)(C(F)F)C(O)=O,0
"O[C@](CO)[C@@](O)[C@](O)[C@](O)CO |^1:1,4,6,8|",0
CN(C)N=Nc1[nH]c[n]c1C(N)=O,0
OC(=O)C(S)C(S)C(O)=O,0
CNC[C@](O)c1cc(O)c(O)cc1 |^1:3|,0
NCCc1c[n]c[nH]1,0
C=Cc1ccccc1S(O)(=O)=O,0
CC1=CN(C(=O)C=C1)c1ccccc1,0
NCc1ccc(cc1)S(N)(=O)=O,0
CN1C=CN(C1=S)C(=O)OCC,0
CC(Cc1ccccc1)N(C)CC#C,0
OC(=O)CCCCCCCC(O)=O,0
S=P(N1CC1)(N1CC1)N1CC1,0
NCCNCCNCCNCCN,0
NC(=O)N[C@@](CCC(O)=O)C(O)=O |^1:4|,0
NC(=O)NC(CCC(O)=O)C(O)=O,0
"[O-][N+](=O)O[C@@]1CO[C@@]2[C@@](O)CO[C@]12 |^1:4,7,8,12|",0
[O-][N+](=O)OC1COC2C(O)COC12,0
CC1C(OCCN1C)c1ccccc1,0
OC(=O)C(O)(CC(O)=O)CC(O)=O,0
CN1N=Nc2c([n]c[n]2C1=O)C(N)=O,0
Nc1ccc(cc1)C(=O)NCC(O)=O,0
C[C@](N)(Cc1ccc(O)cc1)C(O)=O,0
CC(N)(Cc1ccc(O)cc1)C(O)=O,0
CC(C)CC[n]1c(CO)ccc1C=O,0
C[C@]1CNCCc2ccc(Cl)cc12 |^1:1|,0
CCCCCCCCCCNCC=C,0
OC(Cc1cc(O)c(O)cc1)C(O)=O,0
COc1cc(cc(OC)c1O)C(O)=O,0
COc1ccccc1OCC(O)CO,0
CC1O[C@]2(CN3CCC2CC3)CS1,0
O=C1NC(=O)C(F)=CN1C1CCCO1,0
Oc1ccc(cc1)OCc1ccccc1,0
CN1C(=O)CC(C)(c2ccccc2)C1=O,0
CCN1C(=O)NC(c2ccccc2)C1=O,0
"CC[C@@](CO)NCCN[C@](CO)CC |^1:2,9|",0
CC(C)=CCCC(=C)C1CC=C(C)CC1,0
CC(C)(CO)[C@@](O)C(=O)NCCCO |^1:5|,0
