model_name,variant,dataset,accuracy,precision,recall,f1,roc_auc,pr_auc,training_time,inference_time,notes
full_coverage_descriptor_fp_meta_v4,challenger_proxy_meta_logreg_knn_plus_lgbm__cal_none__thr_f1,external,0.7549668874172185,0.7676056338028169,0.7266666666666667,0.7465753424657534,0.8564912280701754,0.868432917312411,,,family=challenger_proxy; selection_mode=internal_only; coverage=1.0; detailed_predictions_available; reused_archived_results; selected_main_variant; pipeline_runtime_sec=0.58
full_coverage_descriptor_fp_meta_v4,challenger_proxy_meta_logreg_knn_plus_lgbm__cal_none__thr_f1,internal_cv,0.8137254901960784,,0.7532467532467533,0.8014705882352942,0.905715994531784,,,,family=challenger_proxy; selection_mode=internal_only; internal_cv_mean; selected_main_variant; pipeline_runtime_sec=0.58
full_coverage_improvements,meta_logreg_knn_plus_lgbm__cal_none__thr_f1,external,0.7682119205298014,0.7777777777777778,0.7466666666666667,0.7619047619047619,0.8603508771929824,0.8715898552991803,,,base_model=meta_logreg_knn_plus_lgbm; coverage=1.0; detailed_predictions_available; reused_archived_results; selected_main_variant; pipeline_runtime_sec=0.97
full_coverage_improvements,meta_logreg_knn_plus_lgbm__cal_none__thr_f1,internal_cv,0.8104575163398693,,,0.7957812116752514,0.9047761449077238,,,,base_model=meta_logreg_knn_plus_lgbm; coverage=1.0; internal_cv_mean; selected_main_variant; pipeline_runtime_sec=0.97
modular_tanimoto_gpc,TanimotoGPC,external,0.7682119205298014,,0.7666666666666667,0.7666666666666667,0.8289035087719299,0.8459709347354546,,43.9,selected_main_model_from_modular_family; detailed_predictions_available; pipeline_runtime_sec=0.00
modular_tanimoto_gpc,TanimotoGPC,internal_cv,0.7741519339976426,,0.7013782872948284,0.7467684996886141,0.852090460362341,0.865918351861939,43.9,,selected_main_model_from_modular_family; pipeline_runtime_sec=0.00
nephro_chemberta,chemberta_hybrid_cb_lgbm,external,0.7218543046357616,0.722972972972973,0.7133333333333334,0.7181208053691275,0.7851754385964912,0.7592965157712533,,,detailed_predictions_available; pipeline_runtime_sec=0.02
nephro_chemberta,chemberta_hybrid_cb_lgbm,internal_cv,0.8402095612311722,0.8661971830985915,0.8049738219895288,0.8344640434192673,0.9208432544447724,0.9340076789442652,,,generated_internal_cv_estimate_5fold; pipeline_runtime_sec=0.02
nephro_unsupervised,Autoencoder,external,0.7450331125827815,0.7588652482269503,0.7133333333333334,0.7353951890034365,0.8259649122807017,0.8397027875136667,,,detailed_predictions_available; selected_main_variant; pipeline_runtime_sec=0.02
nephro_unsupervised,Autoencoder,internal_cv,0.7969875573018992,0.8309037900874635,0.7460732984293194,0.7862068965517242,0.8827513329170469,0.9018899456851556,,,generated_internal_cv_estimate_5fold; selected_main_variant; pipeline_runtime_sec=0.02
